Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
"Laptop Dell Vostro V3400 i3 1115G4/8GB/256GB/14.0""FHD/Win 10+Office Home& Student 19 (No.00775285)",15899000,Dell,Intel Core i3-1115G4 4.10 GHz,8,14,Intel UHD Graphics,SDD,256,Window,1.6,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i3-1115g4-win10
"Dell Inspiron N3501B i5 1135G7/4GB/512GB/15.6""FHD/Win 10 (No.00752177)",18999000,Dell,Intel Core i5-1135G7 4.20 GHz,4,15.6,Intel Iris Xe Graphics,SDD,512,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501b-i5-1135g7
Laptop Acer Predator Helios Gaming PH315-54-75YD i7 11800H/16GB/512GB SSD/RTX3060 6GB/Win10 (No.00773696),39999000,Acer,Intel Core i7-11800H 4.60 GHz,16,15.6,NVIDIA GeForce RTX 3060 6GB & Intel UHD Graphics 630,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-predator-helios-gaming-ph315-54-75yd-i7-11800h
"Laptop Dell Inspiron N5510 i5 11300H/8GB/256GB/15.6""FHD/Office Home&Student (No.00777917)",22999000,Dell,Intel Core i5-11300H 4.40 GHz,8,15.6,Intel Iris Xe Graphics,SDD,256,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5510-i5-11300h
Laptop Lenovo Gaming 3 15IHU6 i7 11370H/ 8GB/512GB/RTX 3050 4GB/Win 10 (No.00771114),28999000,Lenovo,Intel Core i7-11370H 4.80 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-3-15ihu6-i7-11370h-rtx3050-4gb
"Laptop MSI Prestige 14EVO A11M-089VN i7 1185G7/16GB/512GB SSD/14""FHD/UMA/Win10 (No.00733803)",29999000,MSI,Intel Core i7-1185G7 4.80 GHz,16,14,Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-prestige-14evo-a11m-089vn-i7-1185g7
Laptop MSI Gaming Katana GF66 11UC 641VN i7 11800H/8GB/512GB/RTX 3050 4GB/Win 10 (No.00772181),29999000,MSI,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050 4GB & Intel UHD Graphics,SDD,512,Window,2.1,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf66-11uc-641vn-i7-11800h-rtx3050
"Laptop MSI Gaming Alpha 15 B5EEK 036VN R7 5800H/16GB/512GB/RX6600M 8GB/15.6""FHD/Win 10 (No.00773093)",36999000,MSI,AMD Ryzen 7-5800H 4.4 GHz,16,15.6,AMD Radeon RX 6600M 8 GB & AMD Radeon Graphics,SDD,512,Window,2.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-alpha-15-b5eek-036vn-r7-5800h
Laptop MSI Pulse GL66 11UDK 255VN i7 11800H/16GB/512GB/RTX3050 Ti 4GB/Win 10 (No.00764929),33999000,MSI,Intel Core i7-11800H 4.60 GHz,16,15.6,NVIDIA GeForce RTX 3050Ti 4 GB,SDD,512,Window,2.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-pulse-gl66-11udk-255vn-i7-11800h
Laptop MSI Gaming Stealth 15M A11UEK-232VN i7 11375H/16GB/512GB/15.6FHD/RTX 3060 Max-Q 6GB/Win 10 (No.00774426),41999000,MSI,Intel Core i7-11370H 4.80 GHz,16,15.6,NVIDIA GeForce RTX 3060 Max-Q 6GB & Intel UHD Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-stealth-15m-a11uek-232vn-i7-11375h
Laptop Asus TUF Gaming FX516PM-HN002T i7 11370H/8GB/512GB SSD/RTX3060 6GB/Win10 (No.00779584),32999000,Asus,Intel Core i7-11370H 4.80 GHz,8,15.6,NVIDIA GeForce RTX 3060 6GB & Intel Iris Xe Graphics,SDD,512,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx516pm-hn002t-i7-11370h
"Laptop Asus Vivobook M513UA-L1230T R5 5500U/8GB/512GB SSD/15.6"" OLED FHD/Win 10 (No.00770871)",18999000,Asus,AMD Ryzen 5-5500U 4 GHz,8,15.6,AMD Radeon Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m513ua-l1230t-r5-5500u
