id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
88,ASUS,Intel i5,4.2,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.2,2021,FPTShop,23999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux425ea-ki429t-i5-1135g7
89,DELL,Intel i5,3.2,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,FPTShop,23699000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v5410-i5-11320h
90,ACER,Intel i5,4.4,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,23999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-56-51n4-i5-11300h
91,ASUS,Intel i7,4.7,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,23499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ep-bq196t-i7-1165g7
92,ACER,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,23999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-56s5-i5-11400h
93,DELL,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.7,2021,FPTShop,22999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i5-1135g7-mx350
94,ASUS,AMD Ryzen 7,4.4,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.4,2021,FPTShop,22999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3401qa-km040t-r7-5800h
95,ACER,AMD Ryzen 5,4.2,AMD,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,23499000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r3sm-r5-5600h
96,HP,Intel i7,4.7,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.7,2021,FPTShop,22699000,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg0504tu-i7-1165g7?he-dieu-hanh=win-11
97,DELL,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,2.0,2020,FPTShop,22499000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501-i5-1135g7-win10
98,MSI,Intel i5,4.5,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2021,FPTShop,22499000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11sbu-668vn-i5-1155g7
99,MSI,AMD Ryzen 5,4.2,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,2.4,2021,FPTShop,22499000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-276vn-r5-5600h
100,MSI,AMD Ryzen 5,4.2,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,2.4,2021,FPTShop,21999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-bravo-15-b5dd-217vn-r5-5600h
101,MSI,Intel i7,5.0,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2021,FPTShop,21999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-460vn-i7-1165g7
102,ACER,AMD Ryzen 5,4.0,AMD,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.1,2021,FPTShop,21999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r05g-r5-5500u
103,MSI,AMD Ryzen 7,4.3,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,1.6,2021,FPTShop,19990000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-235vn-r7-5700u
104,ASUS,AMD Ryzen 7,4.3,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.5,2021,FPTShop,20499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-flip-tm420ua-ec024t-r7-5700u
105,DELL,AMD Ryzen 5,4.0,AMD,8,14.0,AMD Radeon,AMD,256,SDD,Window,1.4,2021,FPTShop,19799000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5415-r5-5500u
106,ACER,AMD Ryzen 5,4.0,AMD,8,15.6,NVIDIA GeForce GTX,NVIDIA,256,SDD,Window,2.1,2021,FPTShop,20999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r1sb-r5-5500u
107,ACER,AMD Ryzen 5,4.0,AMD,16,14.0,AMD Radeon,AMD,512,SDD,Window,1.2,2021,FPTShop,20999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-3-sf314-43-r4x3-r5-5500u
108,ASUS,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,20099000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ep-bq496t-i5-1135g7-mx330-2gb
109,ASUS,AMD Ryzen 7,4.2,AMD,8,14.0,AMD Radeon,AMD,1000,SDD,Window,1.5,2020,FPTShop,19999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m413ia-ek481t-r7-4700u
110,DELL,AMD Ryzen 3,3.8,AMD,8,15.6,AMD Radeon,AMD,256,SDD,Window,1.7,2021,FPTShop,18599000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v5515-r3-5300u
111,MICROSOFT,Intel i5,3.6,Intel,8,12.4,Intel UHD,Intel,128,SDD,Window,1.1,2020,FPTShop,19999000,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-go-i5-1035g1?dung-luong=128gb
112,HP,Intel i5,4.2,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,FPTShop,18499000,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-14-dv0510tu-i5-1135g7?he-dieu-hanh=win-10
113,ASUS,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,18999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ep-bq189t-i5-1135g7
114,MSI,AMD Ryzen 5,4.0,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,1.6,2021,FPTShop,17999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-15-a5m-234vn-r5-5500u
115,LENOVO,AMD Ryzen 5,4.0,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.4,2021,FPTShop,18699000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g3-acl-r5-5500u
116,ASUS,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,18199000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq993t-i5-1135g7
117,HP,Intel i5,3.6,Intel,8,14.0,Intel UHD,Intel,256,SDD,Window,1.3,2021,FPTShop,17199000,https://fptshop.com.vn/may-tinh-xach-tay/hp-340s-g7-i5-1035g1
118,MSI,AMD Ryzen 5,4.0,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.3,2021,FPTShop,16999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b5m-202vn-r5-5500u
119,HP,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,16999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2561tu-i5-1135g7?he-dieu-hanh=win-11
120,HP,AMD Ryzen 5,4.0,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.5,2021,FPTShop,16699000,https://fptshop.com.vn/may-tinh-xach-tay/hp-245-g8-r5-5500u
121,MSI,AMD Ryzen 5,4.0,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.3,2021,FPTShop,17299000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b5m-r5-5500u-win-10
122,ACER,Intel i5,3.6,Intel,8,15.6,Intel UHD,Intel,512,SDD,Window,1.9,2020,FPTShop,16999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-3-a315-57g-524z-i5-1035g1
123,HP,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,256,SDD,Window,1.8,2021,FPTShop,15999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-15s-fq2602tu-i5-1135g7?he-dieu-hanh=win-11
124,ASUS,Intel i3,4.1,Intel,8,15.6,Intel UHD,Intel,256,SDD,Window,1.8,2021,FPTShop,15999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ea-bn1688t-i3-1115g4
125,ASUS,Intel i3,4.1,Intel,8,15.6,Intel UHD,Intel,512,SDD,Window,1.8,2021,FPTShop,14999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq1005t-i3-1115g4
126,LENOVO,AMD Ryzen 5,3.7,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,1.9,2021,FPTShop,14499000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15ada05-r5-3500u
127,MSI,Intel i3,4.1,Intel,8,14.0,Intel UHD,Intel,256,SDD,Window,1.3,2021,FPTShop,14699000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-850vn-i3-1115g4
128,ACER,Intel i3,3.4,Intel,4,15.6,Intel UHD,Intel,256,SDD,Window,1.7,2021,FPTShop,13490000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-a315-57g-31yd-i3-1005g1
129,DELL,Intel Pentium,3.1,Intel,4,15.6,Intel UHD,Intel,128,SDD,Window,1.8,2020,FPTShop,11699000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3502-pentium-n5030-win-10-nk
130,DELL,Intel Celeron,2.8,Intel,4,15.6,Intel UHD,Intel,128,SDD,Window,1.7,2021,FPTShop,10999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3510-n4020-nk
131,ASUS,Intel Pentium,2.0,Intel,4,11.6,Intel UHD,Intel,64,SDD,Window,1.4,2021,FPTShop,10499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-flip-br1100fka-bp0660t-n6000
132,ASUS,Intel Celeron,2.4,Intel,4,11.6,Intel UHD,Intel,128,SDD,Window,1.4,2021,FPTShop,9699000,https://fptshop.com.vn/may-tinh-xach-tay/asus-flip-br1100fka-bp0531t-n4500
133,MSI,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.1,2021,Dienmayxanh,29090000,https://www.dienmayxanh.com/laptop/msi-gf66-11uc-i7-224vn?src=osp
134,MSI,Intel i7,2.3,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,Dienmayxanh,32790000,https://www.dienmayxanh.com/laptop/msi-gaming-pulse-gl66-11udk-i7-816vn?src=osp
135,ACER,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/acer-nitro-gaming-an515-57-727j-i7-nhqd9sv005?src=osp
136,ACER,Intel i5,2.7,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,31390000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-5831-i5-nhqdgsv003?src=osp
137,ACER,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,28490000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-720a-i7-nhqeqsv004?src=osp
138,GIGABYTE,Intel i5,2.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,28490000,https://www.dienmayxanh.com/laptop/gigabyte-gaming-g5-i5-kc5s11130sb?src=osp
139,ACER,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,26990000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-71vv-i7-nhqensv005?src=osp
140,MSI,Intel i7,2.3,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.6,2021,Dienmayxanh,28990000,https://www.dienmayxanh.com/laptop/msi-katana-gf76-11uc-i7-441vn?src=osp
141,MSI,Intel i7,3.3,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,40790000,https://www.dienmayxanh.com/laptop/msi-gaming-stealth-15m-a11uek-i7-254vn?src=osp
142,GIGABYTE,Intel i5,2.7,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/gigabyte-gaming-g5-i5-md51s1123sh?src=osp
143,ASUS,Intel i5,2.7,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,Dienmayxanh,24990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506hcb-i5-hn1138w?src=osp
144,ASUS,Intel i7,3.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.0,2021,Dienmayxanh,31990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx516pm-i7-hn002t?src=osp
145,ASUS,Intel i7,3.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.0,2021,Dienmayxanh,28990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx516pe-i7-hn005t?src=osp
146,MSI,Intel i7,4.6,Intel,32,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.4,2021,Dienmayxanh,75190000,https://www.dienmayxanh.com/laptop/msi-gaming-ge66-raider-11uh-i7-259vn?src=osp
147,ACER,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.0,2021,Dienmayxanh,46990000,https://www.dienmayxanh.com/laptop/acer-predator-triton-300-pt315-53-71dj-i7?src=osp
148,MSI,Intel i7,4.6,Intel,32,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.1,2021,Dienmayxanh,62490000,https://www.dienmayxanh.com/laptop/msi-gaming-gs66-stealth-11ug-i7-219vn?src=osp
149,MSI,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.4,2021,Dienmayxanh,58190000,https://www.dienmayxanh.com/laptop/msi-gaming-ge66-raider-11ug-i7-258vn?src=osp
150,DELL,Intel i7,2.8,Intel,16,13.4,Intel Iris,Intel,1000,SDD,Window,1.3,2020,Dienmayxanh,56990000,https://www.dienmayxanh.com/laptop/dell-xps-13-9310-i7-jgnh62?src=osp
151,LG,Intel i7,2.8,Intel,16,17.3,Intel Iris,Intel,1000,SDD,Window,1.4,2021,Dienmayxanh,52140000,https://www.dienmayxanh.com/laptop/lg-gram-17-i7-17z90pgah78a5?src=osp
152,MSI,Intel i7,2.3,Intel,16,17.3,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.9,2021,Dienmayxanh,51490000,https://www.dienmayxanh.com/laptop/msi-gp76-11ug-i7-435vn?src=osp
153,LG,Intel i7,2.8,Intel,16,17.3,Intel Iris,Intel,512,SDD,Window,1.4,2021,Dienmayxanh,50240000,https://www.dienmayxanh.com/laptop/lg-gram-17-i7-17z90pgah76a5?src=osp
154,LG,Intel i7,2.8,Intel,16,16.0,Intel Iris,Intel,512,SDD,Window,1.2,2021,Dienmayxanh,48340000,https://www.dienmayxanh.com/laptop/lg-gram-16-i7-16z90pgah75a5?src=osp
155,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,1000,SDD,Mac OS,1.4,2020,Dienmayxanh,48340000,https://www.dienmayxanh.com/laptop/apple-macbook-pro-m1-2020-z11c000cj?src=osp
156,LG,Intel i7,2.8,Intel,16,16.0,Intel Iris,Intel,256,SDD,Window,1.2,2021,Dienmayxanh,46440000,https://www.dienmayxanh.com/laptop/lg-gram-16-i7-16z90pgah73a5?src=osp
157,MSI,Intel i7,2.9,Intel,16,16.0,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.9,2021,Dienmayxanh,44640000,https://www.dienmayxanh.com/laptop/msi-summit-e16-flip-i7-082vn?src=osp
158,ACER,Intel i7,2.3,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.0,2021,Dienmayxanh,41990000,https://www.dienmayxanh.com/laptop/acer-predator-triton-300-pt315-53-75lq-i7?src=osp
159,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,512,SDD,Mac OS,1.4,2020,Dienmayxanh,40740000,https://www.dienmayxanh.com/laptop/apple-macbook-pro-2020-z11c?src=osp
160,ASUS,Intel i7,2.8,Intel,16,13.3,Intel Iris,Intel,1000,SDD,Window,1.2,2021,Dienmayxanh,39390000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux371ea-i7-hl494ts?src=osp
161,MSI,Intel i7,3.0,Intel,16,13.4,Intel Iris,Intel,1000,SDD,Window,1.4,2021,Dienmayxanh,37990000,https://www.dienmayxanh.com/laptop/msi-summit-e13-flip-i7-211vn?src=osp
162,ASUS,Intel i7,2.8,Intel,16,14.0,Intel Iris,Intel,1000,SDD,Window,1.6,2021,Dienmayxanh,37490000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux482ea-i7-ka111t?src=osp
163,ASUS,Intel i7,2.8,Intel,16,14.0,Intel Iris,Intel,1000,SDD,Window,1.6,2021,Dienmayxanh,37490000,https://www.dienmayxanh.com/laptop/asus-zenbook-duo-ux482ea-i7-ka268t?src=osp
164,ACER,Intel i7,2.3,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,Dienmayxanh,36990000,https://www.dienmayxanh.com/laptop/acer-predator-helios-ph315-54-75yd-i7-nhqc2sv002?src=osp
165,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,256,SDD,Mac OS,1.4,2020,Dienmayxanh,36490000,https://www.dienmayxanh.com/laptop/apple-macbook-pro-m1-2020-z11b000ct?src=osp
166,MACBOOK,Apple M1,3.2,Apple,8,13.3,M1 GPU,M1,512,SDD,Mac OS,1.4,2020,Dienmayxanh,35990000,https://www.dienmayxanh.com/laptop/apple-macbook-pro-2020-myd92saa?src=osp
167,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,512,SDD,Mac OS,1.3,2020,Dienmayxanh,35510000,https://www.dienmayxanh.com/laptop/apple-macbook-air-m1-2020-z12a00050?src=osp
168,MSI,Intel i7,3.0,Intel,16,15.6,NVIDIA GeForce GTX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,33240000,https://www.dienmayxanh.com/laptop/msi-prestige-15-a11sc-i7-052vn?src=osp
169,ACER,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,Dienmayxanh,31990000,https://www.dienmayxanh.com/laptop/acer-predator-helios-ph315-54-78w5-i7-nhqc5sv001?src=osp
170,ASUS,Intel i7,2.8,Intel,16,13.3,Intel Iris,Intel,512,SDD,Window,1.3,2021,Dienmayxanh,31790000,https://www.dienmayxanh.com/laptop/asus-zenbook-flip-ux363ea-i7-hp163t?src=osp
171,MSI,Intel i7,2.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.9,2021,Dienmayxanh,31540000,https://www.dienmayxanh.com/laptop/msi-gf65-10ue-i7-228vn?src=osp
172,ASUS,Intel i7,2.3,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.6,2021,Dienmayxanh,30990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx706he-i7-hx011t?src=osp
173,ASUS,Intel i5,2.4,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.6,2021,Dienmayxanh,30840000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux482ea-i5-ka274t?src=osp
174,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,256,SDD,Mac OS,1.3,2020,Dienmayxanh,30790000,https://www.dienmayxanh.com/laptop/apple-macbook-air-m1-2020-z124000de?src=osp
175,ASUS,Intel i7,3.3,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,29890000,https://www.dienmayxanh.com/laptop/asus-vivobook-pro-15-oled-k3500pc-i7-l1046t?src=osp
176,DELL,Intel i7,2.8,Intel,8,15.6,Intel Iris,Intel,1000,SDD,Window,1.8,2021,Dienmayxanh,29440000,https://www.dienmayxanh.com/laptop/dell-latitude-3520-i7-70261780?src=osp
177,ASUS,Intel i7,2.3,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.6,2021,Dienmayxanh,28990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx706hc-i7-hx009t?src=osp
178,DELL,Intel i5,2.4,Intel,16,14.0,NVIDIA GeForce MX,NVIDIA,1000,SDD,Window,1.4,2020,Dienmayxanh,28960000,https://www.dienmayxanh.com/laptop/dell-inspiron-7400-i5-n4i5134w?src=osp
179,ASUS,Intel i7,2.8,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.2,2020,Dienmayxanh,28650000,https://www.dienmayxanh.com/laptop/asus-zenbook-ux425ea-i7-ki439t?src=osp
180,MSI,Intel i5,2.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.9,2021,Dienmayxanh,28590000,https://www.dienmayxanh.com/laptop/msi-gaming-gf65-thin-10ue-i5-286vn?src=osp
181,GIGABYTE,Intel i5,2.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/gigabyte-gaming-g5-i5-5s11130sh?src=osp
182,ASUS,AMD Ryzen 7,3.0,AMD,8,14.0,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,1.6,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/asus-rog-zephyrus-g14-ga401qh-r7-hz035t?src=osp
183,ACER,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/acer-nitro-5-gaming-an515-57-74nu-i7-nhqd9sv001?src=osp
184,ASUS,Intel i7,3.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.0,2021,Dienmayxanh,27990000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx516pc-i7-hn001t?src=osp
185,ASUS,Intel i7,2.3,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,Dienmayxanh,27490000,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx506hcb-i7-hn141t?src=osp
186,ACER,Intel i5,2.7,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.2,2021,Dienmayxanh,27340000,https://www.dienmayxanh.com/laptop/acer-nitro-5-an515-57-54af-i5-nhqensv004?src=osp
187,LENOVO,Intel i5,2.4,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.2,2021,Dienmayxanh,27140000,https://www.dienmayxanh.com/laptop/lenovo-yoga-duet-7-13itl6-i5-82ma000pvn?src=osp
188,LENOVO,Intel i7,2.8,Intel,8,14.0,Intel Iris,Intel,1000,SDD,Window,1.4,2020,Dienmayxanh,27040000,https://www.dienmayxanh.com/laptop/lenovo-yoga-7-14itl5-i7-82bh00ckvn?src=osp
189,ASUS,Intel i5,3.1,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,1.7,2021,Dienmayxanh,26660000,https://www.dienmayxanh.com/laptop/asus-vivobook-pro-15-oled-k3500pc-i5-l1045t?src=osp
190,LENOVO,Intel i7,2.8,Intel,8,14.0,Intel Iris,Intel,1000,SDD,Window,1.5,2021,Dienmayxanh,26490000,https://www.dienmayxanh.com/laptop/lenovo-thinkbook-14s-yoga-itl-i7-20we004evn?src=osp
191,ACER,Intel i7,1.8,Intel,8,14.0,Intel UHD,Intel,256,SDD,Window,0.9,2018,Dienmayxanh,26290000,https://www.dienmayxanh.com/laptop/acer-swift-sf5-i7-8565u-8gb-256gb-win10?src=osp
192,ASUS,Intel i5,2.4,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.3,2021,Dienmayxanh,26090000,https://www.dienmayxanh.com/laptop/asus-zenbook-flip-ux363ea-i5-hp532t?src=osp
193,ASUS,Intel i5,2.4,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.3,2021,Dienmayxanh,26090000,https://www.dienmayxanh.com/laptop/asus-zenbook-flip-ux363ea-i5-hp726w?src=osp
194,LENOVO,Intel i7,2.8,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,Dienmayxanh,26090000,https://www.dienmayxanh.com/laptop/lenovo-yoga-slim-7-14itl05-i7-82a300dqvn?src=osp
