id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
37,ASUS,AMD Ryzen 5,4.0,AMD,8,15.6,AMD Radeon,AMD,512,SDD,Window,1.8,2021,FPTShop,18999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-m513ua-l1230t-r5-5500u
38,MSI,Intel i7,4.8,Intel,16,13.4,Intel Iris,Intel,1000,SDD,Window,1.4,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-summit-e13-flip-evo-a11mt-i7-1185g7
39,MSI,Intel i7,4.8,Intel,16,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,1.7,2021,FPTShop,34999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-prestige-15-a11sc-037vn-i7-1185g7
40,ASUS,AMD Ryzen 9,4.6,AMD,16,13.4,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.3,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-flow-gaming-gv301qc-k6052t-r9-5900hs
41,ASUS,AMD Ryzen 7,4.2,AMD,8,14.0,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,1.6,2021,FPTShop,27999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-zephyrus-ga401ihr-hz009t-r7-4800hs
42,ACER,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.0,2021,FPTShop,44990000,https://fptshop.com.vn/may-tinh-xach-tay/acer-triton-gaming-pt315-53-75lq-i7-11800h
43,ASUS,Intel i3,4.1,Intel,4,15.6,Intel UHD,Intel,512,SDD,Window,1.8,2021,FPTShop,14199000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-x515ea-bq1004t-i3-1115g4
44,MACBOOK,Intel i5,4.3,Intel,16,13.3,Intel Iris,Intel,512,SDD,Mac OS,1.4,2020,FPTShop,46999000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-2-0-ghz-i5-512gb
45,LENOVO,Intel i5,4.0,Intel,16,13.0,Intel Iris,Intel,512,SDD,Window,0.9,2021,FPTShop,49999000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-nano-i5-1130g7
46,ACER,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.0,2021,FPTShop,50999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-triton-gaming-pt315-53-71dj-i7-11800h
47,LENOVO,Intel i5,4.2,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.1,2021,FPTShop,47999000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkpad-x1-carbon-9-i5-1135g7
48,HP,Intel i5,4.5,Intel,16,16.1,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,FPTShop,43999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-omen-16-b0141tx-i5-11400h
49,ASUS,Intel i7,4.7,Intel,16,13.3,Intel Iris,Intel,1000,SDD,Window,1.2,2021,FPTShop,41999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux371ea-hl494ts-i7-1165g7
50,MACBOOK,Apple M1,3.2,Apple,16,13.3,M1 GPU,M1,256,SDD,Mac OS,1.4,2020,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-touch-bar-m1-ram-16gb?dung-luong=256gb
51,HP,Intel i5,4.5,Intel,16,16.1,NVIDIA GeForce RTX,NVIDIA,1000,SDD,Window,2.3,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-omen-16-b0142tx-i5-11400h
52,ASUS,Intel i7,4.7,Intel,16,14.0,Intel Iris,Intel,1000,SDD,Window,1.6,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka268t-i7-1165g7
53,DELL,Intel i7,5.0,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.4,2021,FPTShop,37999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g5-5500-i7-10750h-rtx-2070
54,DELL,Intel i7,5.0,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.6,2021,FPTShop,38999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g7-15-7500-i7-10750h
55,ACER,AMD Ryzen 7,4.4,AMD,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-45-r9sc-r7-5800h
56,MACBOOK,Apple M1,3.2,Apple,8,13.3,M1 GPU,M1,256,SDD,Mac OS,1.4,2020,FPTShop,34999000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-touch-bar-m1-256gb
57,DELL,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.8,2021,FPTShop,33999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5511-i7-11800h
58,ASUS,Intel i5,4.2,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.6,2021,FPTShop,32999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka274t-i5-1135g7
59,ASUS,Intel i5,4.2,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.6,2021,FPTShop,32999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka081t-i5-1135g7
60,ACER,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,32999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-5831-i5-11400h
61,MICROSOFT,Intel i5,3.7,Intel,8,12.3,Intel Iris,Intel,256,SDD,Window,0.8,2019,FPTShop,31999000,https://fptshop.com.vn/may-tinh-xach-tay/microsoft-surface-pro-7-core-i5-1035g4-type-cover?dung-luong=256gb
62,ASUS,AMD Ryzen 7,4.4,AMD,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.7,2021,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1085t-r7-5800h
63,ACER,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,30499000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-720a-i7-11800h
64,MACBOOK,Apple M1,3.2,Apple,8,13.3,M1 GPU,M1,256,SDD,Mac OS,1.3,2020,FPTShop,28999000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-13-2020-m1-256gb
65,GIGABYTE,Intel i5,4.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-md-i5-11400h
66,LENOVO,Intel i7,4.7,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,FPTShop,30299000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-14itl05-i7-1165g7?he-dieu-hanh=win-11
67,ASUS,Intel i7,4.6,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.6,2021,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx706hc-hx009t-i7-11800h
68,HP,Intel i7,5.0,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,27990000,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavillion-gaming-15-dk1159tx-i7-10750h
69,ASUS,Intel i7,4.8,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.0,2021,FPTShop,28990000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fx516pc-hn001t-i7-11370h
70,ASUS,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,28499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx506hcb-hn141t-i7-11800h
71,HP,AMD Ryzen 7,4.2,AMD,8,13.3,AMD Radeon,AMD,256,SDD,Window,1.3,2020,FPTShop,27199000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-13-ay0069au-r7-4700u
